sail,full_name,location,deadline,link,keywords,qualis,_full_name,similarity,_sail,when_start,when_end
FLTA,The 2nd IEEE International Conference on Federated Learning Technologies and Applications,"Valencia, Spain",2024-05-31,https://flta-conference.org/,"federated learning, machine learning, edge ai, privacy and security",B4,International Conference on Cloud Computing Technologies and Applications,27,CLOUDTECH,2024-09-17,2024-09-20
ICMLA,23rd International Conference on Machine Learning and Applications,"Miami, Florida",2024-07-31,https://www.icmla-conference.org/icmla24/,"machine learning, bayesian networks, federated learning, neural networks",A2,IEEE International Conference on Machine Learning and Applications,4,ICMLA,2024-12-18,2024-12-20
NTU-PEPSC,2024 2nd Power Electronics and Power System Conference (PEPSC 2024),Singapore,2024-10-08,https://pepsc.org/,"electronic, power, control, distribution",B3,Nordic Circuits and Systems Conference,41,NORCAS,2024-11-06,2024-11-09
Ei/Scopus-CISDS,"2024 3rd International Conference on Communications, Information System and Data Science (CISDS 2024)","Nanjing, China",2024-10-22,http://www.cisds.net/,"communications, information system, data science, computer science",B1,International Conference on Application of Information and Communication Technologies,48,AICT,2024-11-22,2024-11-24
AISS,2024 6th International Conference on Advanced Information Science and System (AISS 2024),"Sanya, China (both online and in-person)",2024-10-30,https://www.aiss2024.net/,"information science, information system, information systems, computer science",A3,International Conference on Advanced Information Systems Engineering,33,CAISE,2024-11-15,2024-11-17
NetSMM -  2025,8th International Workshop on Network and System Management and Monitoring (NetSMM 2025),"Barcelona, Spain",2024-11-05,http://netsmm.galileo.edu,"network monitoring, security monitoring, IDS IPS, ai and ml in monitoring",B2,International Workshop on Data Management on New Hardware,43,DAMON,2025-04-09,2025-04-11
ICoSSE--Ei 2025,2025 8th International Conference on Software and System Engineering (ICoSSE 2025),"Nice, France",2024-11-15,http://www.icsse.org/,"computer science, computing, artificial intelligence, simulation",B4,IARIA International Conference on Software Engineering Advances,32,ICSEA-IARIA,2025-04-04,2025-04-06
ICTC--SCI 2025,2025 6th Information Communication Technologies Conference (ICTC 2025)--SCI,"Nanjing, China",2024-12-15,http://www.ictc.net/,"communications, information science, image processing, data management",A3,IEEE PES Innovative Smart Grid Technologies Conference Europe,39,ISGT-Europe,2025-05-16,2025-05-18
ICTC 2025,2025 6th Information Communication Technologies Conference (ICTC 2025)--SCI,"Nanjing, China",2024-12-15,http://www.ictc.net/,"network security, information technology, signal processing, wireless communications",A3,IEEE PES Innovative Smart Grid Technologies Conference Europe,39,ISGT-Europe,2025-05-16,2025-05-18
IEA/AIE 2025,"The 37th International Conference on Industrial, Engineering & Other Applications of Applied Intelligent Systems",KitaKyushu -Japan,2024-12-15,https://www.i-somet.org/iea-aie2025/,"intelligent software, software engineering, legacy system, formal verification",B1,International Conference on Industrial Engineering & Other Applications of Appled Intelligence Systems,13,IEAAIE,2025-07-01,2025-07-04
ECCS 2025,CPS--2025 the 5th European Conference on Communication Systems (ECCS 2025),"Vienna, Austria",2024-12-20,https://www.eccs.net,"signal processing, information science, networking, wireless communications",A3,International Conference on Communication Systems & NetworkS,33,COMSNETS,2025-05-21,2025-05-23
CPS ECCS 2025,CPS--2025 the 5th European Conference on Communication Systems (ECCS 2025),"Vienna, Austria",2024-12-20,https://www.eccs.net,"communications, systems engineering, information technology, image processing",A3,International Conference on Communication Systems & NetworkS,33,COMSNETS,2025-05-21,2025-05-23
Sensors journal,Special Issue on Energy-Efficient Communication Networks and Systems: 2nd Eition,N/A,2024-12-30,https://www.mdpi.com/journal/sensors/special_issues/T01878J9S0,"green computing, networking, communications, computer science",B3,Workshop on Communication Networks and Power Systems,45,WCNPS,,
CCCE 2025,2025 5th International Conference on Computer and Communication Engineering (CCCE 2025),"Helsinki, Finland ",2025-01-05,http://www.ccce.net/,"computing, computer engineering, communications, software engineering",A2,International Conference on Computer Communications and Networks,35,ICCCN,2025-05-23,2025-05-25
CCCE--EI 2025,2025 5th International Conference on Computer and Communication Engineering (CCCE 2025),"Helsinki, Finland ",2025-01-05,http://www.ccce.net/,"cloud computing, computer science, artificial intelligence, wireless communications",A2,International Conference on Computer Communications and Networks,35,ICCCN,2025-05-23,2025-05-25
CCAI 2025,IEEE--2025 5th International Conference on Computer Communication and Artificial Intelligence (CCAI 2025),"Haikou, China",2025-01-10,http://www.ccai.net/,"cloud computing, computer engineering, intelligent systems, wireless communications",A3,IEEE International Conference on Tools with Artificial Intelligence,44,ICTAI,2025-05-23,2025-05-25
IEEE CCAI 2025,IEEE--2025 5th International Conference on Computer Communication and Artificial Intelligence (CCAI 2025),"Haikou, China",2025-01-10,http://www.ccai.net/,"computing, artificial intelligence, software engineering, communications",A3,IEEE International Conference on Tools with Artificial Intelligence,44,ICTAI,2025-05-23,2025-05-25
ACNS 2025,23rd International Conference on Applied Cryptography and Network Security - deadline 2,"Munich, Germany",2025-01-13,https://acns2025.fordaysec.de/call-for-papers/,"cybersecurity, security, network, cryptography",A3,International Conference on Cryptology and Network Security,31,CANS,2025-06-23,2025-06-26
IJCNN 2025,International Joint Conference on Neural Networks,"Rome, Italy",2025-01-15,https://2025.ijcnn.org/,"artificial intelligence, neural network",A1,IEEE International Joint Conference on Neural Networks,5,IJCNN,2025-06-30,2025-07-05
ASIACCS 2025,The 20th ACM ASIA Conference on Computer and Communications Security - deadline 2,"Ha Noi, Vietnam",2025-01-20,https://asiaccs2025.hust.edu.vn/call-for-papers/,"cybersecurity, privacy, security, network",A1,ACM Symposium on Computer and Communications Security,35,CCS,2025-08-25,2025-08-29
SPACOMM 2025,The Seventeenth International Conference on Advances in Satellite and Space Communications,"Nice, France",2025-02-04,https://www.iaria.org/conferences2025/SPACOMM25.html,"signal processing, antennas, radio, space communication",A2,IEEE International Conference on Green Computing and Communications,38,GreenCom,2025-05-18,2025-05-22
ICFCC 2025,2025 The 17th International Conference on Future Computer and Communication (ICFCC 2025),"Jeju Island, South Korea",2025-02-05,http://icfcc.org/,"computing, communications, information technology, artificial intelligence",A2,IEEE International Conference on Green Computing and Communications,35,GreenCom,2025-06-25,2025-06-27
ICFCC--EI 2025,2025 The 17th International Conference on Future Computer and Communication (ICFCC 2025),"Jeju Island, South Korea",2025-02-05,http://icfcc.org/,"cloud computing, computer engineering, software engineering, wireless communications",A2,IEEE International Conference on Green Computing and Communications,35,GreenCom,2025-06-25,2025-06-27
AMLDS 2025,IEEE--2025 International Conference on Advanced Machine Learning and Data Science," Tokyo, Japan",2025-02-10,https://amlds.site/,"machine learning, deep learning, artificial intelligence, data mining",A2,IEEE International Conference on Machine Learning and Applications,26,ICMLA,2025-07-19,2025-07-21
ecml-pkdd-journal-track 2025,Journal Track with ECML PKDD 2025,N/A,2025-02-14,https://ecmlpkdd.org/2025/submissions-journal-track/,"machine learning, knowledge discovery, data mining",B4,Mostra Nacional de Robótica,26,MNR,,
25th EANN/EAAAI 2025,25th (EANN/EAAAI) Engineering Applications and Advances of of Artificial Intelligence,CYPRUS Lemesos city,2025-02-15,https://ifipaiai.org/2025/,"artificial intelligence, neural networks, deep learning, machine learning",B2,International Conference on Artificial Intelligence,46,ICAIWC,2025-06-26,2025-06-29
SPML 2025,2025 8th International Conference on Signal Processing and Machine Learning (SPML 2025),"Hohhot, China",2025-02-15,http://www.spml.net,"signal processing, computer graphics, information technology, communications",B4,"International Conference on Signal, Image Processing and Multimedia",40,SPM,2025-07-15,2025-07-17
SPML--EI 2025,2025 8th International Conference on Signal Processing and Machine Learning (SPML 2025),"Hohhot, China",2025-02-15,http://www.spml.net,"image processing, artificial intelligence, machine learning, information security",B4,"International Conference on Signal, Image Processing and Multimedia",40,SPM,2025-07-15,2025-07-17
21st AIAI 2025,21st (AIAI) Artificial Intelligence Applications and Innovations,CYPRUS Lemesos city,2025-02-15,https://ifipaiai.org/2025/,"artificial intelligence, neural networks, deep learning, machine learning",B3,Conference on Artificial Intelligence in Medicine,35,AIME,2025-06-26,2025-06-29
ICISPC 2025,"2025 Ninth International Conference on Imaging, Signal Processing and Communications (ICISPC 2025)","Osaka, Japan",2025-02-20,http://www.icispc.org,"image processing, communications, information technology, data management",A2,"International Conference on Computing, Networking and Communications",43,ICNC,2025-07-11,2025-07-13
ICCCI 2025,2025 7th International Conference on Computer Communication and the Internet (ICCCI 2025),"Tokushima University, Japan",2025-02-20,http://www.iccci.org,"computing, communications, information technology, internet",A2,International Conference on Computer Communications and Networks,33,ICCCN,2025-06-27,2025-06-29
Ei/Scopus-CEICE 2025,"2025 2nd International Conference on Electrical, Information and Communication Engineering (CEICE 2025)","Guangzhou, China",2025-02-21,http://www.ceice-conf.net/,"electrical, information, communications, electrical engineering",B1,International Conference on Application of Information and Communication Technologies,42,AICT,2025-03-21,2025-03-23
ACDL 2025,8th Advanced Course on Data Science & Machine Learning,Riva del Sole Resort & SPA - Tuscany,2025-02-23,https://acdl2025.icas.events/,"artificial intelligence, generative ai, deep learning, large language models",A1,International Conference on Machine Learning,29,ICML,2025-06-09,2025-06-13
